"";"X";"id";"first_name";"second_name";"name";"singular_name";"form";"selected_by_percent";"total_points";"goals_scored";"assists";"clean_sheets";"transfers_in_event";"transfers_out_event";"event_points";"points_per_game";"goals_conceded";"yellow_cards";"red_cards";"saves";"bonus";"bps";"influence";"creativity";"threat";"ict_index";"value_form";"value_season";"news";"now_cost";"ep_this";"ep_next";"chance_of_playing_this_round";"in_dreamteam";"dreamteam_count";"minutes";"element_type";"team_code"
"20";20;21;"Danny";"Welbeck";"Arsenal";"Forward";0;0,4;19;1;1;0;17;53;0;2,4;3;0;0;0;3;63;73,6;56,8;66;19,5;0;3;"Ankle injury - Unknown return date";6,4;0;0;0;FALSE;0;146;4;3
"21";21;22;"Alexandre";"Lacazette";"Arsenal";"Forward";6;8,3;146;12;11;5;12617;11479;0;5;22;2;0;0;19;492;711,4;368,1;989;206,5;0,6;15,5;"";9,4;0;4,9;75;FALSE;1;1969;4;3
"22";22;23;"Pierre-Emerick";"Aubameyang";"Arsenal";"Forward";3,5;17,9;164;17;6;6;17643;14199;0;5,7;34;0;0;0;26;589;766,4;380,9;1135;228,1;0,3;15,2;"";10,8;0;4;100;TRUE;4;2198;4;3
"23";23;450;"Lucas";"Torreira";"Arsenal";"Midfielder";1,3;3;72;2;4;5;72;4957;0;2,5;30;6;1;0;6;374;402,8;266,1;178;84,9;0,3;15,3;"Suspended until 15 Apr";4,7;0;0;0;FALSE;1;2072;3;3
"24";24;451;"Matteo";"Guendouzi";"Arsenal";"Midfielder";0,8;1,8;38;0;0;2;330;1154;0;1,5;25;5;0;0;0;261;262,6;254,6;124;64,2;0,2;8,6;"";4,4;0;1,3;100;FALSE;0;1688;3;3
"25";25;542;"Emiliano";"Martínez";"Arsenal";"Goalkeeper";0;0,2;0;0;0;0;8;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Reading";4;0;0;0;FALSE;0;0;1;3
"26";26;545;"Emile";"Smith-Rowe";"Arsenal";"Midfielder";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to RB Leipzig";4,5;0;0;0;FALSE;0;0;3;3
"27";27;546;"Zech";"Medley";"Arsenal";"Defender";0;0,1;0;0;0;0;66;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4;0;0,5;NA;FALSE;0;0;2;3
"28";28;552;"Edward";"Nketiah";"Arsenal";"Forward";0,3;0;2;0;0;0;52;46;0;1;0;0;0;0;0;8;2;0;0;0,2;0,1;0,4;"";5;0;0,8;NA;FALSE;0;5;4;3
"29";29;563;"Bukayo";"Saka";"Arsenal";"Midfielder";0;0;1;0;0;0;19;22;0;1;0;0;0;0;0;3;0;0;0;0;0;0,2;"";4,5;0;0,5;NA;FALSE;0;7;3;3
"30";30;566;"Joseph";"Willock";"Arsenal";"Midfielder";0;0;1;0;0;0;11;7;0;1;1;0;0;0;0;3;1;0;0;0,1;0;0,2;"";4,5;0;0,5;NA;FALSE;0;2;3;3
"31";31;581;"Carl";"Jenkinson";"Arsenal";"Defender";0,5;0;3;0;0;0;10;9;0;1,5;2;0;0;0;0;12;21,6;14,1;8;4,4;0,1;0,7;"";4,5;0;1;NA;FALSE;0;120;2;3
"32";32;586;"Denis";"Suárez";"Arsenal";"Midfielder";0,5;0,1;4;0;0;0;44;272;0;1;1;0;0;0;0;11;8,4;4,8;0;1,4;0,1;0,7;"";5,9;0;1;NA;FALSE;0;67;3;3
"33";33;24;"Asmir";"Begovic";"Bournemouth";"Goalkeeper";0;3;61;0;0;5;452;1577;0;2,8;42;0;0;57;4;348;421;0;0;42,2;0;14,2;"";4,3;0;0;100;FALSE;0;1980;1;91
"34";34;25;"Artur";"Boruc";"Bournemouth";"Goalkeeper";3;9,4;36;0;0;3;7508;3853;2;4;14;1;0;30;4;168;226,8;0;0;22,8;0,7;8,8;"";4,1;3;3;NA;FALSE;1;810;1;91
"35";35;26;"Simon";"Francis";"Bournemouth";"Defender";0;0,2;40;0;2;4;2;38;0;2,4;24;1;0;0;0;244;332,4;173,3;39;54,4;0;9,3;"Anterior cruciate ligament  - Expected back 25 Jun";4,3;0;0;0;FALSE;0;1227;2;91
"36";36;27;"Steve";"Cook";"Bournemouth";"Defender";0;4,4;70;1;1;7;36;4538;0;2,7;47;2;0;0;5;453;627;109,2;279;101,4;0;16,3;"Groin Injury - Expected back 13 Apr";4,3;0;0;0;FALSE;1;2340;2;91
"37";37;28;"Charlie";"Daniels";"Bournemouth";"Defender";1,6;4,2;43;1;0;4;3445;2900;0;2,1;33;4;0;0;1;267;280,4;202,3;156;63,9;0,4;10,5;"";4,1;1,6;1,6;100;FALSE;1;1528;2;91
"38";38;29;"Adam";"Smith";"Bournemouth";"Defender";0,8;0,5;54;1;0;6;19;1021;0;2,6;25;4;1;0;0;287;272,2;133;100;50,6;0,2;12,6;"Hamstring injury - Expected back 30 Mar";4,3;0;0;0;FALSE;0;1707;2;91
"39";39;30;"Tyrone";"Mings";"Bournemouth";"Defender";0;0,1;5;0;0;0;1;21;0;1;4;0;0;0;0;41;49;16,3;2;6,8;0;1,2;"Season-long loan to Aston Villa";4,2;0;0;0;FALSE;0;141;2;91
"40";40;31;"Nathan";"Aké";"Bournemouth";"Defender";2,8;6;96;3;1;8;4589;7063;4;3,1;56;2;0;0;6;567;801;42;337;118;0,5;18,8;"";5,1;2,1;2,1;75;FALSE;0;2781;2;91
"41";41;32;"Jack";"Simpson";"Bournemouth";"Defender";0,4;6,7;2;0;0;0;7128;3506;0;2;1;0;0;0;0;13;18,8;0;0;1,9;0,1;0,5;"";3,8;0,4;0,4;NA;FALSE;0;82;2;91
"42";42;34;"Marc";"Pugh";"Bournemouth";"Midfielder";0;0,4;0;0;0;0;4;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Hull City";4,3;0;0;0;FALSE;0;0;3;91
"43";43;35;"Andrew";"Surman";"Bournemouth";"Midfielder";1,4;0,2;36;0;0;4;17;237;0;2;37;2;0;0;0;206;190,8;163;38;39,2;0,3;7,8;"Calf injury - 25% chance of playing";4,6;1,4;0,3;NA;FALSE;0;1438;3;91
"44";44;36;"Junior";"Stanislas";"Bournemouth";"Midfielder";0;0,1;47;1;3;2;9;31;0;2,5;23;1;0;0;3;176;187,8;250,6;312;75,1;0;7,8;"Thigh injury - Expected back 30 Mar";6;0;0;0;FALSE;0;957;3;91
"45";45;37;"Dan";"Gosling";"Bournemouth";"Midfielder";1,2;0,1;38;0;2;3;6;198;0;1,9;26;5;0;0;0;172;251,8;115,3;155;52,1;0,3;8,1;"Knee injury - Expected back 30 Mar";4,7;0;0;0;FALSE;0;1354;3;91
"46";46;38;"Jordon";"Ibe";"Bournemouth";"Midfielder";1;0,2;23;0;1;0;31;80;1;1,4;19;1;0;0;0;75;76,2;151,8;118;34,5;0,2;4,6;"";5;1;1;NA;FALSE;0;644;3;91
"47";47;39;"Lewis";"Cook";"Bournemouth";"Midfielder";0;0,1;22;0;0;3;3;18;0;1,7;10;2;0;0;0;91;76;50,4;36;16,5;0;4,7;"Anterior cruciate ligament  - Expected back 04 Jun";4,7;0;0;0;FALSE;0;719;3;91
"48";48;40;"Ryan";"Fraser";"Bournemouth";"Midfielder";4,4;22,4;143;6;10;7;13767;38207;2;4,6;51;2;0;0;18;589;724,4;1021,7;514;226,4;0,7;23,1;"";6,2;3,3;4,4;75;FALSE;5;2558;3;91
"49";49;41;"Emerson";"Hyndman";"Bournemouth";"Midfielder";0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Loaned to Hibernian";4,5;0;0;0;FALSE;0;0;3;91
"50";50;42;"David";"Brooks";"Bournemouth";"Midfielder";1,4;5,2;101;6;4;8;6812;12618;2;4;32;2;0;0;6;311;474,6;352,7;524;135,2;0,3;19,8;"";5,1;1,4;1,4;100;FALSE;2;1813;3;91
"51";51;43;"Callum";"Wilson";"Bournemouth";"Forward";2,6;16;127;11;9;7;13263;47919;2;5,5;33;3;0;0;16;405;541,6;328,4;833;169,8;0,4;19,5;"";6,5;2,6;2,6;100;FALSE;5;1906;4;91
"52";52;44;"Lys";"Mousset";"Bournemouth";"Forward";1,8;0,3;25;1;0;0;364;443;0;1,2;14;1;0;0;0;75;61,2;53,8;106;21,8;0,4;5,1;"";4,9;1,8;1,8;100;FALSE;0;302;4;91
"53";53;45;"Joshua";"King";"Bournemouth";"Forward";4,8;6,9;123;11;3;8;14224;16274;13;4,4;44;3;0;0;20;416;601,2;458,6;862;191,8;0,7;18,9;"";6,5;4,8;4,8;100;FALSE;4;2395;4;91
"54";54;46;"Jermain";"Defoe";"Bournemouth";"Forward";0;0,4;4;0;0;0;2;31;0;1;2;0;0;0;0;12;3;0;23;2,6;0;0,7;"Joined Rangers on an 18-month loan deal";5,6;0;0;0;FALSE;0;22;4;91
"55";55;241;"Nathaniel";"Clyne";"Bournemouth";"Defender";1,2;0,9;24;0;0;2;521;1380;1;1,8;14;1;0;0;0;131;142;55,2;50;24,7;0,3;5,5;"";4,4;1,2;1,2;100;FALSE;0;866;2;91
"56";56;259;"Dominic";"Solanke";"Bournemouth";"Forward";1,4;0,4;10;0;1;0;1589;758;4;2;4;0;0;0;0;36;61,4;57;99;21,8;0,3;2,1;"";4,7;1,4;1,4;100;FALSE;0;222;4;91
"57";57;473;"Diego";"Rico";"Bournemouth";"Defender";0,4;0;6;0;0;0;32;42;0;0,6;17;1;0;0;0;80;100;166;27;29,2;0,1;1,5;"";4,1;0,3;0,3;75;FALSE;0;527;2;91
"58";58;494;"Jefferson";"Lerma";"Bournemouth";"Midfielder";1;0,3;49;1;1;7;122;199;1;2,1;36;11;0;0;3;275;377,4;155,4;159;69,3;0,2;10,9;"";4,5;1;1;100;FALSE;0;1922;3;91
"59";59;580;"Chris";"Mepham";"Bournemouth";"Defender";2,2;0,1;13;0;0;1;86;223;1;1,9;9;0;0;0;0;77;95;1,6;14;11,2;0,5;2,9;"";4,5;2,2;2,2;NA;FALSE;0;461;2;91
"60";60;599;"Sam";"Surridge";"Bournemouth";"Forward";0,2;0,1;1;0;0;0;396;416;0;1;0;0;0;0;0;2;0;1,5;4;0,6;0;0,2;"";4,5;0,2;0,2;NA;FALSE;0;10;4;91
"61";61;600;"Kyle";"Taylor";"Bournemouth";"Midfielder";0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,5;0;0;NA;FALSE;0;0;3;91
"62";62;47;"Mathew";"Ryan";"Brighton";"Goalkeeper";3,7;3,1;81;0;0;5;5212;1649;0;3,2;37;2;0;72;9;404;514,2;0;0;51,5;0,8;18,4;"";4,4;0;6,4;100;FALSE;0;2250;1;36
"63";63;48;"Lewis";"Dunk";"Brighton";"Defender";4,3;2,5;76;2;1;6;7967;1822;0;2,8;38;4;1;0;6;450;628,6;95,4;172;90;1;17,3;"";4,4;0;7,6;100;FALSE;1;2341;2;36
"64";64;49;"Shane";"Duffy";"Brighton";"Defender";4;6,5;99;5;2;6;11563;4473;0;3,8;37;4;1;0;9;456;774;51,2;410;123,7;0,9;21,1;"";4,7;0;7;100;FALSE;4;2277;2;36
"65";65;50;"Bruno";"Saltor Grau";"Brighton";"Defender";0;0,3;31;0;1;3;11;102;0;3,9;6;2;0;0;4;132;104,4;65,3;14;18,4;0;7;"";4,4;0;-1;100;FALSE;1;619;2;36
"66";66;51;"Gaëtan";"Bong";"Brighton";"Defender";0,3;0,1;41;0;0;4;30;44;0;2;31;0;0;0;0;226;201,4;151,1;8;35,9;0,1;9,3;"";4,4;0;-0,4;100;FALSE;0;1625;2;36
"67";67;52;"Markus";"Suttner";"Brighton";"Defender";0;4,2;0;0;0;0;297;1274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Joined Fortuna Dusseldorf on loan for the rest of the season on 18/1. - Expected back 30 Jun";3,8;0;0;0;FALSE;0;0;2;36
"68";68;53;"Ezequiel";"Schelotto";"Brighton";"Defender";0;1,7;0;0;0;0;354;749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Joined Chievo on loan until the end of the season on 28/1. - Expected back 30 Jun";3,8;0;0;0;FALSE;0;0;2;36
"69";69;54;"Leon";"Balogun";"Brighton";"Defender";0;0,1;15;1;0;0;29;38;0;1,9;10;2;0;0;0;86;134;1,1;27;16,2;0;3,6;"";4,2;0;-1;100;FALSE;1;591;2;36
"70";70;55;"Anthony";"Knockaert";"Brighton";"Midfielder";5;0,5;68;2;6;3;1501;442;0;2,8;28;4;0;0;2;259;348,4;464,8;302;111,6;1;13,1;"";5,2;0;9;NA;FALSE;0;1453;3;36
"71";71;56;"Dale";"Stephens";"Brighton";"Midfielder";4;3,2;50;1;1;4;4568;1211;0;2,3;32;4;1;0;4;288;345,8;179,2;46;57;0,9;11,6;"";4,3;0;7;100;FALSE;0;1764;3;36
"72";72;57;"Beram";"Kayal";"Brighton";"Midfielder";0,3;0,3;28;1;1;3;18;196;0;2,2;11;4;0;0;0;117;189,4;53,7;49;29,3;0,1;6,4;"";4,4;0;-0,4;NA;FALSE;0;712;3;36
"73";73;58;"Solomon";"March";"Brighton";"Midfielder";1;0,8;80;1;5;5;809;1046;0;2,9;36;1;0;0;5;298;407,4;597,4;288;129,4;0,2;16,7;"";4,8;0;1;100;FALSE;1;2069;3;36
"74";74;59;"Pascal";"Groß";"Brighton";"Midfielder";0,3;1,5;58;2;2;2;49;535;0;3,1;22;0;0;0;9;263;327;645,5;290;126,4;0;8,7;"Hamstring injury - 25% chance of playing";6,7;0;-0,1;0;FALSE;1;1361;3;36
"75";75;60;"Davy";"Pröpper";"Brighton";"Midfielder";5;0,2;63;1;1;4;1068;508;0;2,5;37;2;0;0;3;302;337,6;217,3;115;67,2;1;13,1;"";4,8;0;9;100;FALSE;0;2222;3;36
"76";76;61;"José Heriberto";"Izquierdo Mena";"Brighton";"Midfielder";0,7;0,1;24;0;2;2;11;10;0;2,2;6;1;0;0;0;73;59,4;62,4;142;26,4;0,1;4,1;"";5,9;0;0,4;100;FALSE;0;586;3;36
"77";77;62;"Glenn";"Murray";"Brighton";"Forward";2,3;2,3;100;11;0;3;4222;2853;0;3,4;33;5;0;0;13;272;400,6;139,8;660;118,3;0,4;15,9;"";6,3;0;3,6;100;FALSE;1;1919;4;36
"78";78;63;"Tomer";"Hemed";"Brighton";"Forward";0;0,1;0;0;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Queens Park Rangers";4,9;0;0;0;FALSE;0;0;4;36
"79";79;64;"Sam";"Baldock";"Brighton";"Forward";0;0,3;0;0;0;0;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Transferred to Reading";4,5;0;0;0;FALSE;0;0;4;36
"80";80;65;"Jürgen";"Locadia";"Brighton";"Forward";0,7;0,3;46;2;0;3;261;507;0;2,1;14;1;0;0;6;137;144,6;170,6;332;64,4;0,1;8,7;"";5,3;0;0,4;100;FALSE;1;1006;4;36
"81";81;66;"Florin";"Andone";"Brighton";"Forward";1,3;0,2;32;3;0;1;70;340;0;2;7;2;0;0;2;86;132,6;27,4;321;47,5;0,3;6,4;"Groin Injury - 75% chance of playing";5;0;1,2;75;FALSE;0;562;4;36
"82";82;179;"David";"Button";"Brighton";"Goalkeeper";0;2,9;15;0;0;1;1048;2804;0;3,8;5;0;0;14;2;76;89,2;0;0;8,9;0;3,8;"";4;0;-1;100;FALSE;0;360;1;36
"83";83;439;"Jason";"Steele";"Brighton";"Goalkeeper";0;1,2;0;0;0;0;47;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4;0;-1;NA;FALSE;0;0;1;36
"84";84;440;"Bernardo";"Fernandes da Silva Junior";"Brighton";"Defender";2,3;0,1;29;0;1;2;180;54;0;2,2;14;3;0;0;0;185;270,6;108;39;41,8;0,5;6,9;"";4,2;0;3,6;100;FALSE;0;1084;2;36
"85";85;466;"Yves";"Bissouma";"Brighton";"Midfielder";2;0;31;0;0;2;21;11;0;1,5;18;3;0;0;0;99;142,2;126,2;157;42,5;0,4;6,7;"";4,6;0;3;100;FALSE;0;1188;3;36
"86";86;476;"Alireza";"Jahanbakhsh";"Brighton";"Midfielder";1,7;0,6;21;0;0;4;19;35;0;1,6;6;2;0;0;0;35;60,4;71;111;24,1;0,3;3,1;"";6,7;0;2,4;100;FALSE;0;628;3;36
"87";87;503;"Martín";"Montoya";"Brighton";"Defender";2,3;0,2;40;0;1;3;375;189;0;1,9;34;4;0;0;1;318;405;268,2;55;72,9;0,5;9,3;"";4,3;0;3,6;NA;FALSE;0;1890;2;36
"88";88;551;"Viktor";"Gyokeres";"Brighton";"Forward";0;0,1;0;0;0;0;280;268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,5;0;-1;NA;FALSE;0;0;4;36
"89";89;559;"Ben";"White";"Brighton";"Defender";0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Peterborough";4;0;0;0;FALSE;0;0;2;36
"90";90;572;"Max";"Sanders";"Brighton";"Midfielder";0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,5;0;-1;100;FALSE;0;0;3;36
"91";91;582;"Dan";"Burn";"Brighton";"Defender";0;0;0;0;0;0;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,5;0;-1;NA;FALSE;0;0;2;36
"92";92;67;"Tom";"Heaton";"Burnley";"Goalkeeper";1,2;0,6;35;0;0;2;158;959;1;2,9;18;1;0;39;3;198;273,2;20;4;29,7;0,3;7,3;"";4,8;1,2;1,2;100;FALSE;0;1080;1;90
"93";93;68;"Nick";"Pope";"Burnley";"Goalkeeper";0;0,2;0;0;0;0;10;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,8;0;0;100;FALSE;0;0;1;90
"94";94;69;"Matthew";"Lowton";"Burnley";"Defender";0;0,2;22;0;0;3;18;41;0;1,5;32;5;0;0;0;193;225,6;103,3;28;35,8;0;4,8;"";4,6;0;0;100;FALSE;0;1208;2;90
"95";95;70;"Ben";"Mee";"Burnley";"Defender";0,6;1,7;64;0;2;6;161;787;1;2,1;59;8;0;0;4;467;724,6;97,9;182;100,6;0,1;13,9;"";4,6;0,6;0,6;NA;FALSE;0;2790;2;90
"96";96;71;"Stephen";"Ward";"Burnley";"Defender";0;0,5;7;0;0;1;37;72;0;2,3;6;1;0;0;0;44;48,4;17,2;19;8,5;0;1,5;"";4,7;0;0;100;FALSE;0;228;2;90
"97";97;72;"James";"Tarkowski";"Burnley";"Defender";1;4,4;75;3;1;5;534;2957;1;2,7;54;5;0;0;4;414;818,6;47;369;123,7;0,2;16;"";4,7;1;1;100;FALSE;1;2456;2;90
"98";98;73;"Kevin";"Long";"Burnley";"Defender";0;0,3;16;0;1;1;62;117;0;2,7;9;0;0;0;0;101;147,8;11,6;8;16,8;0;3,9;"";4,1;0;0;100;FALSE;0;513;2;90
"99";99;74;"Charlie";"Taylor";"Burnley";"Defender";1,6;0,4;62;0;1;5;455;462;4;2;55;2;0;0;1;409;532;230,1;29;79,2;0,4;14,1;"";4,4;1,6;1,6;NA;FALSE;0;2610;2;90
"100";100;75;"Phil";"Bardsley";"Burnley";"Defender";0,2;0,2;27;0;0;3;99;278;0;1,5;27;9;0;0;0;204;261,8;139,1;65;46,6;0;6,4;"";4,2;0,2;0,2;100;FALSE;0;1580;2;90
"101";101;76;"Johann Berg";"Gudmundsson";"Burnley";"Midfielder";3,2;1,2;83;3;6;5;231;1163;2;3,5;36;2;0;0;6;311;412;545,5;364;132,3;0,6;15,1;"";5,5;3,2;3,2;100;FALSE;1;1624;3;90
"102";102;77;"Steven";"Defour";"Burnley";"Midfielder";0;0;10;0;0;0;3;6;0;1,7;14;0;0;0;0;70;61,4;36,6;0;9,9;0;1,9;"Calf injury - Unknown return date";5,3;0;0;0;FALSE;0;449;3;90
"103";103;78;"Jeff";"Hendrick";"Burnley";"Midfielder";1,2;0,2;54;1;2;2;11;95;0;2,2;38;3;0;0;3;187;165,2;147,5;237;55;0,2;10,4;"";5,2;1,2;1,2;NA;FALSE;1;1541;3;90
"104";104;79;"Robbie";"Brady";"Burnley";"Midfielder";0,8;0;17;0;1;1;14;33;1;1,2;14;3;1;0;0;64;91,4;174,9;81;34,8;0,1;3,1;"";5,4;0,8;0,8;100;FALSE;0;627;3;90
"105";105;80;"Ashley";"Westwood";"Burnley";"Midfielder";3,6;3,1;85;1;7;5;3298;4890;2;3,1;46;4;0;0;7;413;489,8;540,4;188;122,2;0,8;18,5;"";4,6;3,6;3,6;100;FALSE;0;2191;3;90
"106";106;81;"Jonathan";"Walters";"Burnley";"Midfielder";0;0;0;0;0;0;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Achilles injury - Expected back 30 Mar";4,7;0;0;0;FALSE;0;0;3;90
"107";107;82;"Jack";"Cork";"Burnley";"Midfielder";2;0,6;72;1;2;6;165;479;2;2,4;54;5;0;0;0;374;425,2;263,4;206;89,6;0,4;15,7;"";4,6;2;2;100;FALSE;0;2682;3;90
"108";108;83;"Aaron";"Lennon";"Burnley";"Midfielder";0;0,3;41;1;1;3;6;81;0;2,6;22;1;0;0;2;133;151,6;121,2;108;38;0;8,4;"Knee injury - Unknown return date";4,9;0;0;0;FALSE;1;1214;3;90
"109";109;84;"Sam";"Vokes";"Burnley";"Forward";0;0,6;48;3;0;2;3;295;0;2,4;20;0;0;0;7;130;152;108,6;292;54,3;0;9,1;"Transferred to Stoke City";5,3;0;0;0;FALSE;0;907;4;90
"110";110;85;"Ashley";"Barnes";"Burnley";"Forward";3,8;3,2;98;9;3;5;1967;14795;2;3,3;32;5;0;0;10;308;429,8;266,6;828;151,9;0,7;17,2;"";5,7;3,8;3,8;100;FALSE;1;1767;4;90
"111";111;86;"Nahki";"Wells";"Burnley";"Forward";0;0,8;0;0;0;0;7;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Season-long loan to Queens Park Rangers";4,5;0;0;0;FALSE;0;0;4;90
"112";112;87;"Chris";"Wood";"Burnley";"Forward";3,4;1,1;91;7;0;5;277;4898;2;2,9;41;2;0;0;12;254;329,2;222,5;668;120,6;0,5;14,7;"";6,2;3,4;3,4;100;FALSE;1;1983;4;90
"113";113;485;"Anders";"Lindegaard";"Burnley";"Goalkeeper";0;0,1;0;0;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4,3;0;0;NA;FALSE;0;0;1;90
"114";114;490;"Joe";"Hart";"Burnley";"Goalkeeper";0;4,8;69;0;0;4;744;2303;0;3,6;41;0;0;77;7;378;594,6;10,1;0;60,3;0;16,4;"";4,2;0;0;NA;FALSE;2;1710;1;90
